id;src_id;dst_id;cost_distance;cost;timeres;capres;SRC_CLUST;DST_CLUST;SRC_CLOSE;DST_CLOSE;SRC_LB;SRC_UB;DST_LB;DST_UB;selected
32;201;1;0.47;47.40;474;20;0.21;0.38;0.00;0.87;0.00;3048.00;2728.00;3048.00;1
195;201;2;0.74;71.50;715;20;0.21;0.31;0.00;0.22;0.00;908.00;588.00;908.00;0
337;201;3;0.41;41.70;417;10;0.21;0.25;0.00;0.27;0.00;1261.00;941.00;1261.00;1
371;201;4;0.24;27.20;272;10;0.21;0.40;0.00;0.91;0.00;3057.00;2737.00;3057.00;1
457;201;5;0.83;78.60;786;30;0.21;0.21;0.00;0.49;0.00;2162.00;1842.00;2162.00;0
652;201;6;0.58;57.20;572;30;0.21;0.80;0.00;0.18;0.00;513.00;193.00;513.00;0
698;201;7;0.18;21.40;214;10;0.21;0.34;0.00;0.86;0.00;2837.00;2517.00;2837.00;0
847;201;8;0.54;53.00;530;20;0.21;0.26;0.00;0.26;0.00;1146.00;826.00;1146.00;1
941;201;9;0.32;33.60;336;20;0.21;0.24;0.00;0.50;0.00;2057.00;1737.00;2057.00;1
1142;201;10;0.66;63.60;636;20;0.21;0.92;0.00;0.17;0.00;413.00;93.00;413.00;1
1170;201;11;0.21;24.60;246;10;0.21;0.32;0.00;0.93;0.00;3150.00;2830.00;3150.00;0
1301;201;12;0.58;57.30;573;20;0.21;0.32;0.00;0.31;0.00;1449.00;1129.00;1449.00;1
1437;201;13;0.61;59.50;595;20;0.21;0.29;0.00;0.30;0.00;1357.00;1037.00;1357.00;1
1454;201;14;0.43;44.00;440;10;0.21;0.04;0.00;0.91;0.00;3322.00;3002.00;3322.00;1
1603;201;15;0.29;31.00;310;10;0.21;0.26;0.00;0.25;0.00;1157.00;837.00;1157.00;1
1722;201;16;0.28;30.40;304;10;0.21;0.32;0.00;0.37;0.00;1643.00;1323.00;1643.00;1
1775;201;17;0.26;28.60;286;10;0.21;0.32;0.00;0.81;0.00;2740.00;2420.00;2740.00;0
1929;201;18;0.70;67.10;671;20;0.21;0.29;0.00;0.25;0.00;1075.00;755.00;1075.00;0
2019;201;19;0.35;36.80;368;20;0.21;0.25;0.00;0.53;0.00;2154.00;1834.00;2154.00;1
2122;201;20;0.95;89.80;898;40;0.21;0.18;0.00;0.40;0.00;1877.00;1557.00;1877.00;0
2157;201;21;0.28;30.60;306;20;0.21;0.40;0.00;0.88;0.00;3035.00;2715.00;3035.00;0
2281;201;22;0.42;43.00;430;30;0.21;0.29;0.00;0.34;0.00;1541.00;1221.00;1541.00;0
