id;src_id;dst_id;cost_distance;cost;timeres;capres;SRC_CLUST;DST_CLUST;SRC_CLOSE;DST_CLOSE;SRC_LB;SRC_UB;DST_LB;DST_UB;selected
9;201;1;0.81;76.50;765;9;0.26;0.16;0.00;0.62;0.00;2130.00;1973.00;2130.00;1
58;201;2;0.50;48.30;483;7;0.26;0.62;0.00;0.63;0.00;1667.00;1552.00;1667.00;0
174;201;3;0.44;42.00;420;20;0.26;0.47;0.00;0.31;0.00;1050.00;912.00;1050.00;1
363;201;4;0.44;42.20;422;14;0.26;0.40;0.00;0.14;0.00;199.00;138.00;199.00;1
429;201;5;0.48;46.00;460;26;0.26;0.58;0.00;0.59;0.00;1493.00;1381.00;1493.00;0
588;201;6;1.00;94.70;947;27;0.26;0.45;0.00;0.15;0.00;539.00;378.00;539.00;1
658;201;7;0.62;59.00;590;18;0.26;0.54;0.00;0.53;0.00;1463.00;1329.00;1463.00;0
849;201;8;0.43;41.70;417;22;0.26;0.55;0.00;0.14;0.00;222.00;112.00;222.00;1
938;201;9;0.61;58.20;582;13;0.26;0.41;0.00;0.34;0.00;1176.00;1133.00;1176.00;1
965;201;10;0.91;86.20;862;8;0.26;0.16;0.00;0.56;0.00;1861.00;1719.00;1861.00;0
1082;201;11;0.80;75.50;755;5;0.26;0.34;0.00;0.26;0.00;932.00;866.00;932.00;1
1137;201;12;0.52;50.00;500;13;0.26;0.74;0.00;0.65;0.00;1673.00;1472.00;1673.00;0
1240;201;13;0.77;73.50;735;9;0.26;0.46;0.00;0.34;0.00;1167.00;1009.00;1167.00;1
1350;201;14;0.62;58.80;588;11;0.26;0.46;0.00;0.28;0.00;1018.00;952.00;1018.00;1
1487;201;15;0.97;91.90;919;40;0.26;0.43;0.00;0.23;0.00;735.00;631.00;735.00;0
1564;201;16;0.43;41.10;411;25;0.26;0.41;0.00;0.58;0.00;1429.00;1254.00;1429.00;0
1656;201;17;0.50;48.30;483;10;0.26;0.16;0.00;0.53;0.00;1274.00;1133.00;1274.00;1
1857;201;18;0.09;9.20;92;22;0.26;0.81;0.00;0.14;0.00;147.00;9.00;147.00;1
2005;201;19;0.53;50.90;509;18;0.26;0.08;0.00;0.22;0.00;670.00;528.00;670.00;1
2048;201;20;0.67;64.20;642;17;0.26;0.48;0.00;0.62;0.00;1714.00;1615.00;1714.00;0
2198;201;21;0.83;79.20;792;8;0.26;0.38;0.00;0.15;0.00;555.00;469.00;555.00;1
2253;201;22;0.36;34.40;344;15;0.26;0.68;0.00;0.65;0.00;1613.00;1484.00;1613.00;0
