id;src_id;dst_id;cost_distance;cost;timeres;capres;SRC_CLUST;DST_CLUST;SRC_CLOSE;DST_CLOSE;SRC_LB;SRC_UB;DST_LB;DST_UB;selected
177;201;1;0.62;62.00;620;14;0.09;0.76;0.00;0.19;0.00;2463.00;0.00;2463.00;1
278;201;2;0.53;54.50;545;15;0.09;0.69;0.00;0.48;0.00;2471.00;0.00;2471.00;1
324;201;3;0.32;36.70;367;10;0.09;0.80;0.00;0.87;0.00;2489.00;0.00;2489.00;1
525;201;4;0.00;9.20;92;22;0.09;0.44;0.00;0.28;0.00;2516.00;0.00;2516.00;1
625;201;5;0.62;62.20;622;20;0.09;0.72;0.00;0.46;0.00;2463.00;0.00;2463.00;0
674;201;6;0.11;18.30;183;10;0.09;0.77;0.00;0.93;0.00;2507.00;0.00;2507.00;0
818;201;7;0.49;51.10;511;10;0.09;0.01;0.00;0.29;0.00;349.00;229.00;349.00;1
824;201;8;0.57;58.30;583;10;0.09;0.05;0.00;0.70;0.00;1555.00;1435.00;1555.00;0
872;201;9;0.35;39.00;390;20;0.09;0.76;0.00;0.86;0.00;2486.00;0.00;2486.00;1
1045;201;10;0.81;78.20;782;10;0.09;0.59;0.00;0.18;0.00;2447.00;0.00;2447.00;1
1134;201;11;0.64;64.10;641;10;0.09;0.63;0.00;0.44;0.00;2461.00;0.00;2461.00;1
1181;201;12;0.38;41.60;416;20;0.09;0.76;0.00;0.85;0.00;2484.00;0.00;2484.00;1
1357;201;13;0.62;62.10;621;18;0.09;0.78;0.00;0.20;0.00;2463.00;0.00;2463.00;1
1466;201;14;0.17;23.70;237;20;0.09;0.15;0.00;0.62;0.00;2502.00;0.00;2502.00;1
1511;201;15;0.47;49.00;490;30;0.09;0.87;0.00;0.81;0.00;2476.00;0.00;2476.00;0
1704;201;16;0.38;42.10;421;10;0.09;0.81;0.00;0.25;0.00;2483.00;0.00;2483.00;1
1807;201;17;0.37;41.10;411;25;0.09;0.43;0.00;0.55;0.00;2484.00;0.00;2484.00;1
1852;201;18;0.49;51.00;510;30;0.09;0.93;0.00;0.79;0.00;2474.00;0.00;2474.00;0
2023;201;19;0.85;82.10;821;2;0.09;0.52;0.00;0.18;0.00;2443.00;0.00;2443.00;1
2123;201;20;0.60;60.70;607;20;0.09;0.70;0.00;0.47;0.00;2465.00;0.00;2465.00;0
2171;201;21;0.32;36.80;368;10;0.09;0.76;0.00;0.89;0.00;2489.00;0.00;2489.00;1
2239;201;22;0.54;55.00;550;20;0.09;0.09;0.00;0.54;0.00;888.00;768.00;888.00;1
2336;201;23;0.69;68.50;685;10;0.09;0.65;0.00;0.48;0.00;2457.00;0.00;2457.00;1
2481;201;24;0.28;32.80;328;6;0.09;0.02;0.00;0.30;0.00;329.00;209.00;329.00;1
2651;201;25;0.84;81.00;810;10;0.09;0.50;0.00;0.18;0.00;2444.00;0.00;2444.00;0
2751;201;26;0.62;62.40;624;30;0.09;0.72;0.00;0.46;0.00;2463.00;0.00;2463.00;0
2792;201;27;0.56;57.30;573;36;0.09;0.86;0.00;0.75;0.00;2468.00;0.00;2468.00;0
2993;201;28;0.06;14.70;147;10;0.09;0.44;0.00;0.28;0.00;2511.00;0.00;2511.00;1
3097;201;29;0.38;41.60;416;10;0.09;0.42;0.00;0.58;0.00;2484.00;0.00;2484.00;1
3100;201;30;0.22;27.70;277;35;0.09;0.05;0.00;0.90;0.00;2060.00;1940.00;2060.00;0
3278;201;31;0.73;71.80;718;9;0.09;0.74;0.00;0.19;0.00;2454.00;0.00;2454.00;1
3376;201;32;0.72;70.80;708;20;0.09;0.61;0.00;0.47;0.00;2455.00;0.00;2455.00;0
3423;201;33;0.58;59.00;590;18;0.09;0.75;0.00;0.75;0.00;2466.00;0.00;2466.00;1
3613;201;34;0.48;50.00;500;13;0.09;0.84;0.00;0.21;0.00;2475.00;0.00;2475.00;1
3745;201;35;0.83;79.90;799;10;0.09;0.07;0.00;0.22;0.00;436.00;316.00;436.00;1
3790;201;36;0.42;44.70;447;33;0.09;0.85;0.00;0.83;0.00;2481.00;0.00;2481.00;1
3952;201;37;0.31;35.70;357;10;0.09;0.49;0.00;0.26;0.00;243.00;123.00;243.00;1
4080;201;38;0.71;70.00;700;10;0.09;0.02;0.00;0.28;0.00;559.00;439.00;559.00;0
4127;201;39;0.33;37.10;371;7;0.09;0.77;0.00;0.84;0.00;2488.00;0.00;2488.00;1
4320;201;40;0.40;43.00;430;20;0.09;0.81;0.00;0.25;0.00;2482.00;0.00;2482.00;1
4383;201;41;0.36;39.80;398;21;0.09;0.07;0.00;0.62;0.00;1071.00;951.00;1071.00;1
4428;201;42;0.52;53.70;537;10;0.09;0.95;0.00;0.72;0.00;2472.00;0.00;2472.00;1
4563;201;43;0.33;37.50;375;20;0.09;0.01;0.00;0.33;0.00;434.00;314.00;434.00;1
4628;201;44;0.64;63.90;639;10;0.09;0.07;0.00;0.49;0.00;945.00;825.00;945.00;1
4675;201;45;0.66;66.00;660;20;0.09;0.54;0.00;0.72;0.00;2459.00;0.00;2459.00;0
4863;201;46;0.59;59.60;596;10;0.09;0.80;0.00;0.21;0.00;2466.00;0.00;2466.00;1
4968;201;47;0.25;30.20;302;20;0.09;0.30;0.00;0.60;0.00;2495.00;0.00;2495.00;1
5149;201;48;0.31;35.30;353;20;0.09;0.74;0.00;0.29;0.00;201.00;81.00;201.00;1
5349;201;49;0.14;21.10;211;10;0.09;0.50;0.00;0.28;0.00;2504.00;0.00;2504.00;1
5445;201;50;0.75;73.50;735;9;0.09;0.68;0.00;0.46;0.00;2452.00;0.00;2452.00;1
5484;201;51;0.67;66.40;664;32;0.09;0.64;0.00;0.69;0.00;2459.00;0.00;2459.00;1
5661;201;52;0.76;73.80;738;12;0.09;0.72;0.00;0.19;0.00;2452.00;0.00;2452.00;1
5752;201;53;1.00;94.70;947;27;0.09;0.54;0.00;0.37;0.00;2431.00;0.00;2431.00;1
5804;201;54;0.17;24.00;240;32;0.09;0.75;0.00;0.91;0.00;2501.00;0.00;2501.00;0
5993;201;55;0.50;51.80;518;25;0.09;0.81;0.00;0.22;0.00;2474.00;0.00;2474.00;1
6091;201;56;0.68;67.40;674;20;0.09;0.63;0.00;0.48;0.00;2458.00;0.00;2458.00;0
6141;201;57;0.35;39.00;390;20;0.09;0.73;0.00;0.89;0.00;2486.00;0.00;2486.00;1
6327;201;58;0.45;47.40;474;10;0.09;0.93;0.00;0.22;0.00;2478.00;0.00;2478.00;1
6464;201;59;0.40;43.40;434;10;0.09;0.01;0.00;0.30;0.00;407.00;287.00;407.00;1
6506;201;60;0.64;64.20;642;17;0.09;0.55;0.00;0.64;0.00;2461.00;0.00;2461.00;1
6634;201;61;0.77;75.30;753;13;0.09;0.05;0.00;0.26;0.00;522.00;402.00;522.00;1
6734;201;62;0.63;62.70;627;20;0.09;0.72;0.00;0.46;0.00;2463.00;0.00;2463.00;0
6879;201;63;0.39;42.80;428;9;0.09;0.02;0.00;0.26;0.00;311.00;191.00;311.00;1
7080;201;64;0.09;17.20;172;23;0.09;0.43;0.00;0.26;0.00;2508.00;0.00;2508.00;1
7175;201;65;0.82;79.20;792;8;0.09;0.65;0.00;0.42;0.00;2446.00;0.00;2446.00;1
7225;201;66;0.29;34.40;344;15;0.09;0.74;0.00;0.88;0.00;2491.00;0.00;2491.00;1
7426;201;67;0.04;12.60;126;27;0.09;0.43;0.00;0.27;0.00;2513.00;0.00;2513.00;1
7526;201;68;0.51;52.60;526;40;0.09;0.66;0.00;0.53;0.00;2473.00;0.00;2473.00;0
7570;201;69;0.50;52.30;523;10;0.09;0.78;0.00;0.72;0.00;2473.00;0.00;2473.00;1
7750;201;70;0.65;65.10;651;3;0.09;0.89;0.00;0.21;0.00;2460.00;0.00;2460.00;1
7840;201;71;0.64;63.80;638;34;0.09;0.63;0.00;0.44;0.00;2462.00;0.00;2462.00;1
7962;201;72;0.28;33.50;335;30;0.09;0.04;0.00;0.32;0.00;660.00;540.00;660.00;1
8146;201;73;0.63;63.20;632;12;0.09;0.84;0.00;0.20;0.00;2462.00;0.00;2462.00;1
8238;201;74;0.82;79.70;797;19;0.09;0.68;0.00;0.43;0.00;2446.00;0.00;2446.00;1
8241;201;75;0.74;72.60;726;21;0.09;0.05;0.00;0.63;0.00;2091.00;1971.00;2091.00;0
8246;201;76;0.50;52.00;520;26;0.09;0.05;0.00;0.74;0.00;1684.00;1564.00;1684.00;0
8358;201;77;0.81;78.20;782;10;0.09;0.19;0.00;0.40;0.00;696.00;576.00;696.00;1
8407;201;78;0.14;21.40;214;10;0.09;0.77;0.00;0.91;0.00;2504.00;0.00;2504.00;0
8468;201;79;0.28;33.10;331;9;0.09;0.07;0.00;0.61;0.00;1245.00;1125.00;1245.00;1
8560;201;80;0.57;58.20;582;13;0.09;0.64;0.00;0.50;0.00;2467.00;0.00;2467.00;1
8607;201;81;0.47;49.40;494;21;0.09;0.83;0.00;0.83;0.00;2476.00;0.00;2476.00;1
8806;201;82;0.16;22.80;228;16;0.09;0.56;0.00;0.26;0.00;2503.00;0.00;2503.00;1
8893;201;83;0.79;76.50;765;9;0.09;0.58;0.00;0.42;0.00;2449.00;0.00;2449.00;1
9044;201;84;0.49;51.00;510;10;0.09;0.14;0.00;0.23;0.00;264.00;144.00;264.00;1
9184;201;85;0.66;65.80;658;20;0.09;0.01;0.00;0.27;0.00;364.00;244.00;364.00;0
9284;201;86;0.61;61.20;612;10;0.09;0.63;0.00;0.51;0.00;2464.00;0.00;2464.00;1
